instructor,time,location,maxcap,srmajor,jrmajor,available,grad,srnon,jrnon,so,fr,ispoi,section,code,sem,title,iscross
"Constantine,David A.",..T.R.. 08:50AM-10:10AM;,SCIE139;,30,5,5,-1,NA,5,5,10,0,FALSE,01,MATH229,Fall2017,Differential Equations,FALSE
"Robinson,Mike",..T.R.. 10:20AM-11:40AM;,JUDD116;,35,11,11,0,NA,3,3,7,NA,FALSE,01,NS&B227,Fall2017,Motivation and Reward,TRUE
"Ellis,Fred M.",.M.W... 10:50AM-12:10PM;,SCIE216;,19,7,8,6,2,0,0,2,0,FALSE,01,PHYS315,Fall2017,Quantum Mechanics II,TRUE
"Hovey,Mark A.",TBA;,TBA,19,0,0,11,NA,5,5,5,4,FALSE,01,CIS115,Spring2018,Experiential Design and Application,FALSE
"Biddle,Michaelle L.",.M..... 01:20PM-04:10PM;,TBA,6,0,0,1,NA,1,2,2,1,FALSE,01,CIS116,Spring2018,Designing Books,FALSE
"Westmoreland,T. David    Mukerji,Ishita",.....F. 02:40PM-03:40PM;,SCIE137;,35,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,CIS122,Spring2018,Wesleyan Mathematics and Science Scholars Colloquium II,FALSE
"Teva,David Leipziger",.M..... 04:30PM-06:30PM;,DWNY200;,15,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,CIS135,Spring2018,Mindfulness,FALSE
"Thomas,Ellen",.....F. 01:20PM-02:40PM;,SCIE113;,19,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,CIS222,Spring2018,Research Frontiers in the Sciences II,FALSE
"Oleinikov,Pavel V",...W... 07:10PM-10:00PM;,ALLB204;,19,0,0,7,NA,7,7,5,0,FALSE,01,QAC239,Spring2018,Proseminar: Web Scraping,TRUE
"Starr,Francis W.",.....F. 01:20PM-02:40PM;,SCIE139;,30,15,10,23,5,0,0,0,0,FALSE,01,CIS322,Spring2018,Senior Colloquium II: Integrative Sciences,FALSE
"Thomas,Ellen",.M.W... 08:20AM-09:40AM;,SCIE309;,25,5,6,6,2,2,5,5,0,FALSE,01,E&ES236,Spring2018,Mass Extinctions in the Oceans: Animal Origins to Anthropocene,TRUE
"Greenwood,James P.",....R.. 01:20PM-04:10PM;,SCIE317;,24,8,8,7,NA,0,0,8,0,FALSE,01,E&ES216,Spring2018,Earth Materials Laboratory,FALSE
"Fieldsteel,Adam",..T.R.. 02:50PM-04:10PM;,HALL84;,40,0,0,16,NA,1,2,12,25,FALSE,01,MATH222,Spring2018,Multivariable Calculus,FALSE
"Hildum,Alyson",.M.W... 02:50PM-04:10PM;,SCIE141;,35,0,0,11,NA,1,2,10,22,FALSE,02,MATH222,Spring2018,Multivariable Calculus,FALSE
"Adeboye,Ilesanmi",..T.R.. 10:20AM-11:40AM;,SCIE139;,25,10,12,-9,NA,0,0,3,0,FALSE,01,MATH225,Spring2018,Fundamentals of Analysis: An Introduction to Real Analysis,FALSE
"Ram�rez,Felipe A.",..T.R.. 08:50AM-10:10AM;,SCIE121;,25,10,12,-3,NA,0,0,3,0,FALSE,02,MATH225,Spring2018,Fundamentals of Analysis: An Introduction to Real Analysis,FALSE
"Adeboye,Ilesanmi",..T.R.. 02:50PM-04:10PM;,SHAN201;,35,10,15,11,NA,0,0,10,0,FALSE,01,MATH226,Spring2018,Complex Analysis,FALSE
"Loui,Psyche",..T.R.. 02:50PM-04:10PM;,ALLB304;,10,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,PSYC398,Spring2018,Advanced Research in Auditory Cognitive Neuroscience,TRUE
"Morgan,Thomas J.",...W.F. 02:50PM-04:10PM;,SCIE201;,19,6,6,3,5,0,0,2,0,FALSE,01,PHYS313,Spring2018,Classical Dynamics,TRUE
"Karanian,Jessica M.",.M..... 01:20PM-04:10PM;,JUDD116;,40,8,9,-8,NA,0,0,17,6,FALSE,01,PSYC222,Spring2018,Sensation and Perception,TRUE
"Sanislow,Charles A.",.M.W... 02:50PM-04:10PM;,JUDD307;,10,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,PSYC392,Spring2018,Behavioral Methods in Affective Neuroscience,TRUE
"Lipton,James",.M.W... 02:50PM-04:10PM;,SCIE121;,50,23,20,8,0,0,0,7,0,FALSE,01,COMP321,Fall2017,Design of Programming Languages,TRUE
"Epstein,Jeff",..T.R.. 02:50PM-04:10PM;,SCIE137;,30,15,10,-2,NA,0,0,5,0,FALSE,01,COMP331,Fall2017,Computer Structure and Organization,TRUE
"Shai,Saray",.M.W... 01:20PM-02:40PM;,SCIE139;,19,8,8,-6,NA,0,0,3,0,FALSE,01,NANA,NANA,Special Topics in Computer Science,FALSE
"Lipton,James",..T.R.. 02:50PM-04:10PM;,SHAN107;,30,15,10,-12,NA,0,0,5,0,FALSE,01,COMP301,Spring2018,Automata Theory and Formal Languages,TRUE
"Manfredi,Victoria Ursula",.M.W... 02:50PM-04:10PM;,SCIE137;,25,10,10,-9,NA,0,0,5,0,FALSE,01,COMP332,Spring2018,Computer Networks,FALSE
"Greenwood,James P.",.M.W... 01:20PM-02:40PM; ...W... 02:50PM-04:10PM;,SCIE405;  SCIE405;,50,NA,NA,3,NA,0,0,25,25,FALSE,01,E&ES101,Fall2017,Dynamic Earth,FALSE
"Resor,Phillip G.",...W... 01:20PM-04:10PM;,SCIE309;,19,5,8,6,NA,0,0,6,0,FALSE,01,E&ES224,Fall2017,Field Geology,FALSE
"O'Connell,Suzanne B.",.M.W... 10:50AM-12:10PM;,SCIE405;,20,6,8,3,NA,0,0,6,0,FALSE,01,E&ES260,Fall2017,Oceans and Climate,TRUE
"Resor,Phillip G.",.M..... 02:50PM-04:10PM;,SCIE405;,19,8,7,12,4,0,0,0,NA,FALSE,01,E&ES301,Fall2017,New England Geology,FALSE
"O'Connell,Suzanne B.",..T.... 05:10PM-09:10PM;,SCIE405;,15,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,E&ES400,Fall2017,Professional Development,TRUE
