instructor,time,location,maxcap,srmajor,jrmajor,available,grad,srnon,jrnon,so,fr,ispoi,section,code,sem,title,iscross
"Aissa,Abderrahman",.MTWRF. 08:50AM-09:40AM;,FISK404;,18,0,0,3,NA,0,0,9,9,FALSE,01,ARAB101,Fall2017,Elementary Arabic I,FALSE
"Aissa,Abderrahman",.MTWR.. 10:50AM-11:40AM;,FISK410;,18,0,0,10,NA,5,4,6,3,FALSE,01,ARAB201,Fall2017,Intermediate Arabic I,FALSE
"Aissa,Abderrahman",.M.W.F. 11:50AM-12:40PM;,FISK404;,15,0,0,10,NA,6,6,3,0,FALSE,01,ARAB301,Fall2017,Advanced Arabic I,FALSE
"Aissa,Abderrahman",.MTWRF. 08:50AM-09:40AM;,FISK404;,18,0,0,5,NA,0,0,9,9,FALSE,01,ARAB102,Spring2018,Elementary Arabic II,FALSE
"Aissa,Abderrahman",.MTWR.. 11:50AM-12:40PM;,FISK404;,18,0,0,13,NA,0,6,10,2,FALSE,01,ARAB202,Spring2018,Intermediate Arabic II,FALSE
"Masters,Bruce A.",.M.W.F. 08:50AM-09:40AM;,FISK210;,12,0,0,4,NA,5,5,2,0,FALSE,01,ARAB311,Spring2018,Introduction to Colloquial Levantine Arabic I,FALSE
"Katz,Melissa R.",..T.R.. 02:50PM-04:10PM;,FISK305;,15,NA,NA,1,NA,NA,NA,NA,15,FALSE,01,FIST126,Fall2017,El Greco to Picasso: Modern Art's Passion for Golden Age Spain,TRUE
"Katz,Melissa R.",.M.W... 01:20PM-02:40PM;,BOGH112;,15,NA,NA,4,NA,NA,NA,NA,15,FALSE,01,ARHA135,Fall2017,Medicine and Art: Viewing the Medieval Body,TRUE
"Birney,Kate",..T.R.. 02:50PM-04:10PM;,FISK210;,16,5,5,3,NA,3,3,0,0,FALSE,01,CCIV283,Fall2017,Off with its Pedestal! The Greek Vase as Art and Artifact,TRUE
"Parslow,Christopher",.M.W... 02:50PM-04:10PM;,FISK302;,48,5,5,34,NA,5,9,9,15,FALSE,01,CCIV223,Fall2017,Survey of Roman Archaeology and Art,TRUE
"Aksamija,Nadja",..T.R.. 10:20AM-11:40AM;,BOGH112;,25,4,3,-1,NA,2,2,7,7,FALSE,01,ARHA221,Fall2017,Early Renaissance Art and Architecture in Italy,TRUE
"Aksamija,Nadja",..T.R.. 01:20PM-02:40PM;,BOGH112;,25,3,4,-2,NA,2,2,7,7,FALSE,01,ARHA233,Fall2017,Art and Culture of the Italian Baroque,FALSE
"Siry,Joseph M.",.M.W... 10:50AM-12:10PM;,BOGH112;,35,5,5,4,NA,5,5,10,5,FALSE,01,ARHA244,Fall2017,"European Architecture and Urbanism, 1750-1910",TRUE
"Wagoner,Phillip B.",...W.F. 10:50AM-12:10PM; ...W... 07:10PM-10:00PM;,BOGH110;  BOGH110;,25,5,5,9,NA,5,5,5,0,FALSE,01,ARHA290,Fall2017,Mahabharata and Ramayana: The Sanskrit Epics and Indian Visual Culture,FALSE
"Mark,Peter A.",..T.R.. 08:50AM-10:10AM;,BOGH112;,19,7,4,2,NA,3,3,2,0,FALSE,01,ARHA299,Fall2017,African History and Art,TRUE
"Mark,Peter A.",...W... 01:20PM-04:10PM;,BOGH113;,16,4,4,6,NA,4,4,0,0,FALSE,01,AFAM310,Fall2017,"Iberian Expansion and the ""Discovery"" of Africa in Travel Narratives and Art, 1420--1640",TRUE
"Siry,Joseph M.",.M.W... 02:50PM-04:10PM;,BOGH110;,19,4,4,-5,NA,4,4,3,0,FALSE,01,ENVS352,Fall2017,"Energy and Modern Architecture, 1850--2015",TRUE
"Aksamija,Nadja    Kuenzli,Katherine M.",.M.W... 10:50AM-12:10PM;,BOGH112;,44,4,4,0,NA,6,5,13,12,FALSE,01,ARHA110,Spring2018,Introduction to Western Art: Renaissance to Modern,FALSE
"Birney,Kate",.M.W... 02:50PM-04:10PM;,FISK404;,30,5,5,-1,NA,5,5,5,5,FALSE,01,CCIV201,Spring2018,Art and Archaeology of the Bronze Age Mediterranean,TRUE
"Katz,Melissa R.",..T.R.. 01:20PM-02:40PM;,BOGH112;,35,5,5,9,NA,5,5,10,5,FALSE,01,ARHA214,Spring2018,"The Art and Architecture of Medieval Pilgrimage, 1100-1500",TRUE
"Kuenzli,Katherine M.",.M.W... 02:50PM-04:10PM;,BOGH112;,30,4,4,-2,NA,4,4,8,6,FALSE,01,ARHA241,Spring2018,"Introduction to European Avant-Garde, 1880--1940",TRUE
"Bigman,Alexander Ryan",.M.W... 01:20PM-02:40PM;,BOGH112;,30,8,7,4,NA,2,2,6,5,FALSE,01,ARHA253,Spring2018,Art After 1945,TRUE
"Tucker,Jennifer",..T.R.. 10:20AM-11:40AM;,CAMS 1&2;,15,3,5,1,NA,NA,2,5,0,FALSE,01,HIST286,Spring2018,"Photography and Law: Mugshots, Privacy and Publicity, Obscenity, Copyright, and Evidence",TRUE
"Mark,Peter A.",..T.R.. 01:20PM-02:40PM;,BOGH114;,32,4,4,8,NA,5,5,7,7,FALSE,01,ARHA267,Spring2018,Contemporary Art in Africa and Diaspora,TRUE
"Wang,Chung-Lan",..T.R.. 10:20AM-11:40AM;,BOGH112;,25,5,5,-4,NA,2,2,6,5,FALSE,01,ARHA283,Spring2018,Beyond the Great Wave:  Japanese Art and Visual Culture,TRUE
"Wagoner,Phillip B.",..T.R.. 01:20PM-02:40PM;,BOGH113;,20,3,3,2,NA,2,2,10,0,FALSE,01,ARHA292,Spring2018,"Archaeology of Food, Trade, and Power in South India",TRUE
"Mark,Peter A.",..T.R.. 08:50AM-10:10AM;,BOGH112;,19,3,3,5,NA,3,3,4,3,FALSE,01,ARHA296,Spring2018,The Mountains in the History of Art,TRUE
"Aksamija,Nadja",.M.W... 01:20PM-02:40PM;,BOGH113;,16,4,4,1,NA,3,3,2,NA,FALSE,01,ARHA322,Spring2018,"Landscape and Ideology, 1450--1650",FALSE
"Woolsey,Caitlin",.....F. 01:20PM-04:10PM;,BOGH113;,15,5,5,1,NA,3,2,0,NA,FALSE,01,ARHA363,Spring2018,"Postwar Art, Media, Space",FALSE
"Randall,Julia A.",.M.W... 10:00AM-12:30PM;,AWKS105;,25,NA,NA,3,NA,NA,NA,NA,25,FALSE,01,ARST131,Fall2017,Drawing I,FALSE
"Randall,Julia A.",.M.W... 01:20PM-03:50PM;,AWKS105;,25,0,0,3,NA,3,4,9,9,FALSE,02,ARST131,Fall2017,Drawing I,FALSE
"Carter,Abigail",..T.R.. 09:00AM-11:30AM;,AWKS105;,25,0,0,7,NA,3,4,9,9,FALSE,03,ARST131,Fall2017,Drawing I,FALSE
"Carter,Abigail",..T.R.. 01:20PM-03:50PM;,AWKS105;,25,0,0,0,NA,3,4,9,9,FALSE,04,ARST131,Fall2017,Drawing I,FALSE
"Chenier,Christopher James",.M.W... 10:00AM-12:30PM;,DDS;,14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,ARST190,Fall2017,Digital Art,FALSE
"Huge,Elijah",..T.R.. 09:00AM-11:30AM;,ASN105;,14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,ARST233,Fall2017,Studies in Computer-based Modelling and Digital Fabrication,FALSE
"Huge,Elijah",..T.R.. 01:20PM-03:50PM;,ASN105;,14,0,0,8,NA,2,4,8,NA,FALSE,01,ARST235,Fall2017,Architecture I,FALSE
"TenEyck,Kate",..T.R.. 09:00AM-11:30AM;,AWKS006;,14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,ARST237,Fall2017,Printmaking,FALSE
"Telfair,Tula",..T.R.. 01:20PM-03:50PM;,ARTS101;,10,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,ARST239,Fall2017,Painting I,FALSE
"Telfair,Tula",..T.R.. 09:00AM-11:30AM;,ARTS101;,10,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,02,ARST239,Fall2017,Painting I,FALSE
"Osborn,Alexander Cooke",.M.W... 01:20PM-03:50PM;,AWKS112;,14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,ARST243,Fall2017,Graphic Design,FALSE
"Schiff,Jeffrey",.M.W... 10:00AM-12:30PM;,ASN101;,14,1,1,3,NA,0,0,6,6,FALSE,01,ARST245,Fall2017,Sculpture I,FALSE
"Schiff,Jeffrey",.M.W... 01:20PM-03:50PM;,ASN101;,14,0,0,0,NA,1,1,6,6,FALSE,02,ARST245,Fall2017,Sculpture I,FALSE
"Rudensky,Sasha",..T.R.. 09:00AM-11:30AM;,DDS;,12,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,ARST251,Fall2017,Photography I,FALSE
"Rudensky,Sasha",..T.R.. 01:20PM-03:50PM;,DDS;,14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,ARST253,Fall2017,Digitial Photography I,FALSE
"Shinohara,Keiji",..T.R.. 06:00PM-08:30PM;,AWKS105;,16,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,ARST260,Fall2017,Introduction to Sumi-e Painting,TRUE
"Shinohara,Keiji",..T.R.. 01:20PM-03:50PM;,AWKS006;,12,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,ARST261,Fall2017,Alternative Printmaking: Beginning Japanese Woodblock Technique,TRUE
"Randall,Julia A.",.M.W... 10:00AM-12:30PM;,AWKS105;,25,0,0,-6,NA,3,4,9,9,FALSE,01,ARST131,Spring2018,Drawing I,FALSE
"TenEyck,Kate",..T.R.. 09:00AM-11:30AM;,AWKS105;,25,0,0,4,NA,3,4,9,9,FALSE,02,ARST131,Spring2018,Drawing I,FALSE
"Huge,Elijah",..T.R.. 01:20PM-03:50PM;,ASN105;,14,0,1,-1,NA,1,2,5,5,FALSE,01,ARST235,Spring2018,Architecture I,FALSE
"Osborn,Alexander Cooke",.M.W... 01:20PM-03:50PM;,AWKS006;,12,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,ARST244,Spring2018,Letterpress and Book Arts,FALSE
"Schiff,Jeffrey",.M.W... 10:00AM-12:30PM;,ASN101;,14,0,2,-3,NA,2,1,5,4,FALSE,01,ARST245,Spring2018,Sculpture I,FALSE
"Rudensky,Sasha",..T.R.. 01:20PM-03:50PM;,DDS;,12,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,ARST251,Spring2018,Photography I,FALSE
"Graf,Bryan",.M.W... 01:20PM-03:50PM;,DDS;,14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,ARST253,Spring2018,Digitial Photography I,FALSE
"Shinohara,Keiji",..T.R.. 01:20PM-03:50PM;,AWKS105;,16,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,ARST260,Spring2018,Introduction to Sumi-e Painting,TRUE
"Chenier,Christopher James",.M.W... 10:45AM-01:15PM;,DDS;,14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,ARST285,Spring2018,"Generative Art, Computational Media, and Creative Coding",TRUE
"Randall,Julia A.",.M.W... 01:20PM-03:50PM;,AWKS105;,16,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,ARST332,Spring2018,Drawing II,FALSE
"Huge,Elijah",..T.R.. 09:00AM-11:30AM;,ASN105;,14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,ARST336,Spring2018,Architecture II,FALSE
"Schiff,Jeffrey",.M.W... 01:20PM-03:50PM;,ASN101;,12,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,ARST346,Spring2018,Sculpture II,FALSE
"Rudensky,Sasha",..T.R.. 09:00AM-11:30AM;,DDS;,12,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,ARST352,Spring2018,Photography II,FALSE
"Shinohara,Keiji",..T.R.. 06:00PM-08:30PM;,AWKS105;,12,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,ARST362,Spring2018,Sumi-e Painting II,TRUE
"Chenier,Christopher James",.MTWRF. 11:00AM-12:40PM;,DDS;,14,3,2,14,NA,3,2,2,2,FALSE,NA,NANA,NANA,Digital Art,FALSE
"Zhu,Xiaomiao",..T.... 08:50AM-09:40AM;,FISK314;,26,0,0,8,NA,0,0,8,18,FALSE,01,CHIN101,Fall2017,Chinese Character Writing,FALSE
"Zhu,Xiaomiao",.MTWRF. 10:50AM-11:40AM;,FISK314;,12,0,0,3,NA,0,1,3,8,FALSE,01,CHIN103,Fall2017,Elementary Chinese I,FALSE
"Zhu,Xiaomiao",.MTWRF. 11:50AM-12:40PM;,FISK314;,12,0,0,3,NA,0,1,3,8,FALSE,02,CHIN103,Fall2017,Elementary Chinese I,FALSE
"Liu,Mengjun",.M.W.F. 01:20PM-02:10PM;,FISK314;,12,0,0,5,NA,0,2,4,6,FALSE,01,CHIN105,Fall2017,Elementary Chinese for Heritage Learners,FALSE
"Liu,Mengjun",.M.WRF. 08:50AM-09:40AM;,FISK314;,12,1,3,3,NA,0,0,5,3,FALSE,01,CHIN205,Fall2017,Intermediate Chinese I,FALSE
"Liu,Mengjun",.M.W.F. 10:50AM-11:40AM;,FISK412;,18,6,2,10,NA,4,2,2,2,FALSE,01,CHIN217,Fall2017,Third-Year Chinese I,FALSE
"Wang,Ao",..T.R.. 07:00PM-08:20PM;,FISK314;,15,3,3,11,NA,3,2,2,2,FALSE,01,CHIN221,Fall2017,Fourth-Year Chinese I,FALSE
"Zhu,Xiaomiao",...W... 06:00PM-08:20PM;,FISK314;,15,3,2,-1,NA,3,2,3,2,FALSE,01,CHIN301,Fall2017,A Glance at Chinese Literature and Culture,FALSE
"Zhu,Xiaomiao",...W... 07:30PM-08:20PM;,FISK121;,26,0,0,10,NA,0,0,8,18,FALSE,01,CHIN102,Spring2018,Chinese Character Writing,FALSE
"Zhu,Xiaomiao",.MTWRF. 10:50AM-11:40AM;,FISK403;,12,0,1,5,NA,1,1,2,7,FALSE,01,CHIN104,Spring2018,Elementary Chinese II,FALSE
"Zhu,Xiaomiao",.MTWRF. 11:50AM-12:40PM;,FISK403;,12,1,1,2,NA,1,1,3,5,FALSE,02,CHIN104,Spring2018,Elementary Chinese II,FALSE
"Liu,Mengjun",.M.WRF. 08:50AM-09:40AM;,FISK314;,12,1,3,7,NA,0,0,5,3,FALSE,01,CHIN206,Spring2018,Intermediate Chinese II,FALSE
"Liu,Mengjun",.M.W.F. 10:50AM-11:40AM;,FISK412;,18,6,2,14,NA,4,2,2,2,FALSE,01,CHIN218,Spring2018,Third-Year Chinese II,FALSE
"Wang,Ao",..T.R.. 07:00PM-08:20PM;,FISK101;,15,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,CHIN223,Spring2018,Creative Writing in Chinese,FALSE
"Birney,Kate",..T.R.. 08:50AM-10:10AM;,CFH106;,16,NA,NA,0,NA,NA,NA,NA,16,FALSE,01,CCIV153,Fall2017,Single Combat in the Ancient World,TRUE
"Szegedy-Maszak,Andrew",..T.R.. 10:20AM-11:40AM;,PAC002;,60,2,3,0,NA,10,10,15,20,FALSE,01,CCIV231,Fall2017,Greek History,TRUE
"Irani,Tushar",..T.R.. 02:50PM-04:10PM;,BOGH115;,15,4,4,2,1,2,2,2,0,FALSE,01,PHIL303,Fall2017,Plato's REPUBLIC,TRUE
"Visvardi,Eirene",...W... 07:10PM-10:00PM;,DWNY208;,17,4,5,9,NA,4,3,1,NA,FALSE,01,CCIV281,Fall2017,Gender and Sexuality in Ancient Greek Culture,TRUE
"Witzke,Serena S.",.M.W.F. 09:50AM-10:40AM;,ALLB304;,15,NA,NA,0,NA,NA,NA,NA,15,FALSE,01,CCIV190,Spring2018,"Beware the Ides, Beware the Hemlock: Roleplaying Crisis in Ancient Greece and Rome",FALSE
"Visvardi,Eirene",..T.R.. 10:20AM-11:40AM;,DWNY113;,40,5,5,23,NA,5,5,10,10,FALSE,01,CCIV202,Spring2018,"Greek Drama: Theater and Social Justice, Ancient and Modern",TRUE
"Irani,Tushar",.M.W... 01:20PM-02:40PM;,PAC002;,25,4,4,-3,NA,2,2,13,0,FALSE,01,PHIL201,Spring2018,Philosophical Classics I: Ancient Western Philosophy,TRUE
"Szegedy-Maszak,Andrew",..T.... 07:10PM-10:00PM;,DWNY208;,12,6,6,3,NA,NA,NA,NA,NA,FALSE,01,CCIV330,Spring2018,Classical Studies Today: Writing for a General Audience,FALSE
"T�lölyan,Khachig",..T.R.. 10:20AM-11:40AM;,SCIE137;,40,0,30,8,NA,0,0,10,0,FALSE,01,ENGL295,Spring2018,Reading Theories,TRUE
"Cho,Joan",.M.W... 02:50PM-04:10PM;,DWNY113;,35,3,5,5,NA,3,4,10,10,FALSE,01,CEAS160,Fall2017,Social and Political Changes in Korea,TRUE
"Aalgaard,Scott W.",..T.R.. 01:10PM-02:40PM;,FISK210;,15,NA,NA,7,NA,NA,NA,NA,15,FALSE,01,CEAS180,Fall2017,Japan Rocks: Music in/as Contemporary Japanese Studies,FALSE
"Cho,Joan",.M.W... 10:50AM-12:10PM;,SCIE113;,25,5,5,0,NA,5,5,5,NA,FALSE,01,CEAS205,Fall2017,Democracy and Social Movements in East Asia,TRUE
"Watanabe,Takeshi",...W.F. 10:50AM-12:10PM;,FEAS SEM;,30,4,4,22,NA,4,4,8,6,FALSE,01,CEAS210,Fall2017,From Tea to Connecticut Rolls: Defining Japanese Culture Through Food,FALSE
"Tan,Ying Jia",..T.R.. 10:20AM-11:40AM;,PAC004;,25,2,2,9,NA,3,3,7,8,FALSE,01,HIST223,Fall2017,History of Traditional China,TRUE
"Tan,Ying Jia",..T.R.. 02:50PM-04:10PM;,DWNY113;,25,2,2,4,NA,2,3,8,8,FALSE,01,HIST224,Fall2017,"Modern China: States, Transnations, Individuals, and Worlds",TRUE
"Wang,Ao",..T.R.. 02:50PM-04:10PM;,FISK302;,19,4,4,-1,NA,3,4,2,2,FALSE,01,CEAS225,Fall2017,Introduction to Chinese Poetry,FALSE
"Tang,Amy Cynthia",.M.W... 10:50AM-12:10PM;,SCIE201;,25,5,5,1,NA,3,5,5,2,FALSE,01,ENGL230,Fall2017,Introduction to Asian American Literature,TRUE
"Angle,Stephen",.M.W... 01:20PM-02:40PM;,FISK302;,40,6,6,6,NA,4,4,10,10,FALSE,01,PHIL205,Fall2017,Classical Chinese Philosophy,TRUE
"Johnston,William D.",.M.W... 01:20PM-02:40PM;,PAC001;,30,5,5,9,NA,5,5,5,5,FALSE,01,HIST279,Fall2017,"The Making of Modern Japan, 1500 to Present",TRUE
"Haddad,Mary Alice",..T.R.. 01:20PM-02:40PM;,PAC422;,25,10,8,4,NA,3,4,0,NA,FALSE,01,GOVT296,Fall2017,Politics in Japan,TRUE
"Angle,Stephen",...W... 07:10PM-10:00PM;,RUSLSEM;,12,3,3,6,NA,3,3,0,NA,FALSE,01,PHIL338,Fall2017,Comparative Political Philosophy,TRUE
"Aalgaard,Scott W.",.M.W... 02:50PM-04:10PM;,BOGH112;,25,6,6,21,NA,5,5,3,0,FALSE,01,CEAS390,Fall2017,Politics and Society in Japanese Women's Writing,TRUE
"Kim,Jin Hi",...W... 01:20PM-03:20PM;,WMH;,19,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,MUSC413,Fall2017,Korean Drumming and Creative Music,TRUE
"Merjan,Barbara",.M..... 01:10PM-03:10PM;,WMH;,19,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,MUSC416,Fall2017,Beginning Taiko--Japanese Drumming Ensemble,TRUE
"Merjan,Barbara",.M..... 03:40PM-05:40PM;,WMH;,15,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,MUSC418,Fall2017,Advanced Taiko--Japanese Drumming Ensemble,TRUE
"Terwilliger,Ender",.M.W... 04:40PM-06:40PM;,RHH003;,15,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,MUSC428,Fall2017,Chinese Music Ensemble,TRUE
"Hatano-Cohen,Miyuki",.MTWRF. 08:50AM-09:40AM;,FISK312;,12,1,2,1,NA,1,1,3,4,FALSE,01,JAPN103,Fall2017,Elementary Japanese I,FALSE
"Hatano-Cohen,Miyuki",.MTWRF. 09:50AM-10:40AM;,FISK312;,12,1,2,2,NA,1,1,3,4,FALSE,02,JAPN103,Fall2017,Elementary Japanese I,FALSE
"Maruta,Naho",.MT.RF. 08:50AM-09:40AM;,FISK210;,18,1,2,9,NA,1,2,10,2,FALSE,01,JAPN205,Fall2017,Intermediate Japanese I,FALSE
"Hatano-Cohen,Miyuki",.M.W.F. 12:20PM-01:10PM;,FISK414;,16,2,3,4,NA,2,2,4,3,FALSE,01,JAPN217,Fall2017,Third-Year Japanese I,FALSE
"Maruta,Naho",..T.... 04:40PM-06:00PM; .....F. 10:50AM-12:10PM;,FISK410;  FISK410;,15,5,1,9,NA,4,1,2,2,FALSE,01,JAPN219,Fall2017,Fourth-Year Japanese I,FALSE
"Watanabe,Takeshi",.....F. 01:20PM-04:10PM;,FEAS SEM;,15,4,2,6,NA,3,2,2,2,FALSE,01,JAPN229,Fall2017,Debating Japan and the World in Japanese,FALSE
"Back,Hyejoo",.M.W.F. 09:50AM-10:40AM;,BOGH112;,18,0,0,-1,NA,3,5,5,5,FALSE,01,KREA153,Fall2017,Elementary Korean I,FALSE
"Back,Hyejoo",.M.W.F. 12:20PM-01:10PM;,FISK413;,18,0,0,4,NA,3,5,7,3,FALSE,01,KREA205,Fall2017,Intermediate Korean I,FALSE
"Back,Hyejoo",..T.R.. 07:00PM-08:20PM;,FISK208;,15,0,0,4,NA,4,5,4,2,FALSE,01,KREA217,Fall2017,Advanced Korean I,FALSE
"Watanabe,Takeshi",..T.R.. 02:50PM-04:10PM;,FISK404;,25,5,5,5,NA,0,0,15,0,FALSE,01,CEAS201,Spring2018,Proseminar,FALSE
"Huang,Yu-ting",.M.W... 01:20PM-02:40PM;,FISK412;,35,3,3,24,NA,2,2,10,15,FALSE,01,CEAS202,Spring2018,Narrating China: Introduction to Modern and Contemporary Chinese Literature,FALSE
"Cho,Joan",.M.W... 02:50PM-04:10PM;,FISK122;,25,3,3,1,NA,3,5,6,5,FALSE,01,CEAS206,Spring2018,Korean Politics Through Film,TRUE
"Wang,Ao",..T.R.. 02:50PM-04:10PM;,FISK208;,30,5,5,17,NA,2,2,8,8,FALSE,01,CEAS221,Spring2018,Introduction to Premodern Chinese Literature,FALSE
"Olendzki,Andrew",.M.W.F. 09:50AM-10:40AM;,PAC002;,50,4,5,2,NA,2,2,17,20,FALSE,01,RELI242,Spring2018,Buddhism: An Introduction,TRUE
"Imai,Masami",.M.W... 01:20PM-02:40PM;,PAC107;,25,13,12,14,NA,0,0,0,0,FALSE,01,ECON362,Spring2018,Macroeconomic History of Japan,TRUE
"Angle,Stephen",.M.W... 02:50PM-04:10PM;,FISK414;,25,2,2,3,NA,5,5,6,5,FALSE,01,PHIL259,Spring2018,Neo-Confucian Chinese Philosophy,TRUE
"Angle,Stephen",.M.W... 10:50AM-12:10PM;,FISK302;,25,5,5,0,NA,5,5,5,0,FALSE,01,PHIL272,Spring2018,Human Rights Across Cultures,TRUE
"Bonin,John P.",..T.R.. 01:20PM-02:40PM;,PAC107;,35,5,10,19,NA,0,5,10,5,FALSE,01,ECON263,Spring2018,China's Economic Transformation,TRUE
"Zheng,Su",..T.R.. 01:20PM-02:40PM;,MST301;,19,4,3,-1,NA,3,3,3,3,FALSE,01,MUSC261,Spring2018,"Music and Modernity in China, Japan, and Korea",TRUE
"McGuire,James W.",..T.R.. 10:20AM-11:40AM;,PAC421;,25,11,10,4,NA,1,1,2,NA,FALSE,01,GOVT271,Spring2018,Political Economy of Developing Countries,TRUE
"Watanabe,Takeshi",..T.R.. 01:20PM-02:40PM;,FISK314;,19,4,4,2,NA,3,4,2,2,FALSE,01,CEAS295,Spring2018,In Search of the Good Life in Premodern Japan,FALSE
"Haddad,Mary Alice",..T.R.. 01:20PM-02:40PM;,JUDD116;,25,10,8,8,NA,4,3,0,0,FALSE,01,GOVT297,Spring2018,Politics and Political Development in the People's Republic of China,TRUE
"Aalgaard,Scott W.",..T.R.. 02:50PM-04:10PM;,FISK121;,25,5,5,20,NA,5,5,5,NA,FALSE,01,CEAS300,Spring2018,Literatures of the Japanese Empire,FALSE
"Dombrowski,Lisa A.",..T.R.. 01:20PM-04:40PM;,CFS100;,19,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,FILM346,Spring2018,Contemporary East Asian Cinema,TRUE
"Huang,Yu-ting",...W... 07:10PM-10:00PM;,FISK412;,15,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,CEAS355,Spring2018,Between Asia and Asian America,TRUE
"Johnston,William D.   Otake,Eiko",.M..... 01:20PM-04:10PM; ..T.... 07:10PM-09:00PM;,FEAS SEM;  FISK122;,19,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,HIST381,Spring2018,Japan's Nuclear Disasters,TRUE
"Cho,Joan",.M.W... 01:20PM-02:40PM;,FISK122;,15,4,3,4,NA,3,3,2,NA,FALSE,01,CEAS385,Spring2018,Legacies of Authoritarian Politics,TRUE
"Aalgaard,Scott W.",...W... 01:20PM-04:10PM;,FISK210;,15,5,3,11,NA,5,2,0,0,FALSE,01,CEAS395,Spring2018,The Question of the Everyday in Modern Japan,FALSE
"Kim,Jin Hi",...W... 01:20PM-03:20PM;,WMH;,19,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,MUSC413,Spring2018,Korean Drumming and Creative Music,TRUE
"Merjan,Barbara",.M..... 01:10PM-03:10PM;,WMH;,19,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,MUSC416,Spring2018,Beginning Taiko--Japanese Drumming Ensemble,TRUE
"Merjan,Barbara",.M..... 03:40PM-05:40PM;,WMH;,15,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,MUSC418,Spring2018,Advanced Taiko--Japanese Drumming Ensemble,TRUE
"Terwilliger,Ender",.M.W... 04:40PM-06:40PM;,RHH003;,15,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,MUSC428,Spring2018,Chinese Music Ensemble,TRUE
"Maruta,Naho",.MTWRF. 08:50AM-09:40AM;,FISK410;,12,1,1,4,NA,1,1,3,5,FALSE,01,JAPN104,Spring2018,Elementary Japanese II,FALSE
"Maruta,Naho",.MTWRF. 09:50AM-10:40AM;,FISK410;,12,1,1,1,NA,1,1,3,5,FALSE,02,JAPN104,Spring2018,Elementary Japanese II,FALSE
"Maruta,Naho",.MTW.F. 12:20PM-01:10PM;,FISK305;,18,1,2,9,NA,1,2,10,2,FALSE,01,JAPN206,Spring2018,Intermediate Japanese II,FALSE
"Hatano-Cohen,Miyuki",.M.W.F. 12:20PM-01:10PM;,FISK314;,16,2,2,6,NA,2,2,5,3,FALSE,01,JAPN218,Spring2018,Third-Year Japanese II,FALSE
"Hatano-Cohen,Miyuki",...W.F. 02:50PM-04:10PM;,FISK314;,15,5,1,10,NA,4,1,2,2,FALSE,01,JAPN220,Spring2018,Fourth-Year Japanese II,FALSE
"Back,Hyejoo",.M.W.F. 09:50AM-10:40AM;,ALLB103;,18,0,0,0,NA,3,5,5,5,FALSE,01,KREA154,Spring2018,Elementary Korean II,FALSE
"Back,Hyejoo",.M.W.F. 12:20PM-01:10PM;,ALLB103;,18,0,0,4,NA,3,5,7,3,FALSE,01,KREA206,Spring2018,Intermediate Korean II,FALSE
"Shin,Eun-Ju",..T.... 06:30PM-07:50PM; ....R.. 05:30PM-06:50PM;,FISK305;  FISK305;,15,2,2,8,NA,4,3,2,2,FALSE,01,KREA218,Spring2018,Advanced Korean II,FALSE
"Shepard,Sadia Dana",.M..... 01:20PM-04:10PM; ...W... 01:20PM-04:10PM;,CFS128;  CFS190;,12,NA,NA,0,NA,NA,NA,NA,12,FALSE,01,FILM104,Fall2017,Documentary Filmmaking: An Introduction to Project Learning,FALSE
